Index,State/UT,SC,ST,OBC,Others,Total
1,Andhra Pradesh,878,647,1610,1066,4201
2,Arunachal Pradesh,0,73,0,45,118
3,Assam,857,993,1277,1952,5079
4,Bihar,7324,1442,15135,7587,31488
5,Chhattisgarh,1854,4078,2875,1330,10137
6,Goa,50,43,32,161,286
7,Gujarat,1654,1599,3882,2827,9962
8,Haryana,3272,382,3428,5094,12176
9,Himachal Pradesh,440,63,159,726,1388
10,Jammu & Kashmir,128,208,61,2171,2568
11,Jharkhand,2844,4207,5362,3216,15629
12,Karnataka,2049,906,5182,1972,10109
13,Kerala,956,353,2029,1567,4905
14,Madhya Pradesh,5143,5702,7754,4524,23123
15,Maharashtra,NA,NA,NA,NA,26898
16,Manipur,19,243,508,46,816
17,Meghalaya,98,587,53,76,814
18,Mizoram,62,873,0,28,963
19,Nagaland,38,221,11,34,304
20,Odisha,3676,3162,3242,2569,12649
21,Punjab,5484,202,3188,5030,13904
22,Rajasthan,3324,2856,5651,2670,14501
23,Sikkim,46,71,87,19,223
24,Tamil Nadu,2379,239,6341,276,9235
25,Telangana,502,467,883,1342,3194
26,Tripura,97,121,65,244,527
27,Uttar Pradesh,17931,3664,32272,21339,75206
28,Uttarakhand,705,299,1080,1140,3224
29,West Bengal,2007,878,1830,11763,16478
30,A & N Islands,0,8,19,76,103
31,Chandigarh,96,1,41,457,595
32,D & N Haveli,1,11,3,23,38
33,Daman & Diu,3,10,5,26,44
34,Delhi,3094,490,3272,5614,12470
35,Lakshadweep,0,1,0,0,1
36,Puducherry,39,2,140,0,181
