Index,State,Illiterate,Below Class X,Below Graduation,Graduate,Educational Standard - Holding Tech. Degree /Diploma,Post Graduate,Educational Standard -Total
1,Andhra Pradesh,1370,1898,622,215,58,38,4201
2,Arunachal Pradesh,25,55,36,2,0,0,118
3,Assam,2007,2094,676,247,34,21,5079
4,Bihar,10488,11788,7099,1831,89,193,31488
5,Chhattisgarh,2253,5202,2018,425,58,181,10137
6,Goa,116,86,81,3,0,0,286
7,Gujarat,2478,4278,2057,708,151,290,9962
8,Haryana,2026,4761,4292,838,124,135,12176
9,Himachal Pradesh,237,515,509,93,16,18,1388
10,Jammu & Kashmir,625,945,843,107,4,44,2568
11,Jharkhand,3736,6764,3928,826,206,169,15629
12,Karnataka,2117,4053,2714,834,297,94,10109
13,Kerala,799,2039,1531,339,146,51,4905
14,Madhya Pradesh,5889,11058,4246,1256,272,402,23123
15,Maharashtra,6311,10644,6501,2298,546,598,26898
16,Manipur,40,523,195,48,0,10,816
17,Meghalaya,362,365,71,13,1,2,814
18,Mizoram,40,612,274,31,1,5,963
19,Nagaland,45,202,47,10,0,0,304
20,Odisha,3620,5954,2291,625,97,62,12649
21,Punjab,4126,5757,3165,592,93,171,13904
22,Rajasthan,3881,5270,3277,1300,292,481,14501
23,Sikkim,38,139,40,6,0,0,223
24,Tamil Nadu,2994,3150,2150,584,222,135,9235
25,Telangana,1186,891,479,418,94,126,3194
26,Tripura,57,401,57,8,2,2,527
27,Uttar Pradesh,25829,26839,13609,6273,603,2053,75206
28,Uttarakhand,552,1410,1042,138,29,53,3224
29,West Bengal,9453,4631,1912,439,1,42,16478
30,A & N Islands,12,59,28,3,1,0,103
31,Chandigarh,60,460,48,18,2,7,595
32,D & N Haveli,4,17,15,1,1,0,38
33,Daman & Diu,39,5,0,0,0,0,44
34,Delhi,3032,4844,3721,686,53,134,12470
35,Lakshadweep,0,0,1,0,0,0,1
36,Puducherry,6,87,53,7,28,0,181
